Idade ;Género;Estado Civil ;Nível de Escolaridade ;Qual o Concelho em que vive;Distrito de Residência;Região de Residência;Qual o Concelho de destino da maioria das deslocações quotidianas;Qual o modo de transporte que MAIS usa diariamente?;Utiliza outro modo de transporte diariamente? Indique quais;Qual a distância de sua casa até ao local de destino mais habitual (em km)?;Quanto tempo demora de casa ao local de destino mais habitual?;Costuma usar a bicicleta maioritariamente para ;Como Modo de Transporte utiliza a Bicicleta quantos dias por semana?;Gostaria de usar mais vezes a bicicleta na deslocação diária (como modo de transporte)?;Porque não usa a bicicleta como modo de transporte?;O que o/a faria usar (ou usar mais) a bicicleta como modo de transporte?;Quantos  pedala por semana, enquanto modo de transporte?;Qual o tipo de bicicleta que mais utiliza?;Em média quantos dias por semana pedala (considerando todos os modos);Quantos km pedala por semana, enquanto lazer?;Quanto km pedala por semana, enquanto deporto?
10-14 anos;Feminino;Solteiro/a;Ensino Básico (3º Ciclo);Braga;Braga;Norte;Braga;De Carro (Passageiro);De Transporte Público;;Menos de 5 minutos;Não uso;;;Não sei andar de bicicleta;Nada, não gosto;;;;;
40-44 anos;Masculino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;A pé;De Trotinete, De Carro (Passageiro);0,800;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Montanha;1;;50
40-44 anos;Masculino;Unido de Facto;Mestrado;Almada;Setúbal;Área Metropolitana de Lisboa;Almada;A pé;De Bicicleta, De Carro (Condutor);0,700;5 a 20 minutos;Como Modo de Transporte;4;Sim;;Ter ciclovias seguras de casa até ao meu destino;20;Bicicleta Elétrica;4;15;60
45-49 anos;Masculino;Casado/a;Ensino Básico (3.º Ciclo);Alcobaça;Leiria;Centro;Castelo Branco;De Carro (Condutor);De Carro (Condutor);500;mais de 36 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;3;50;100
45-49 anos;Masculino;Casado/a;Ensino Básico (3.º Ciclo);Santiago do Cacém;Setúbal;Alentejo;Santiago do Cacém;De Carro (Condutor);De Transporte Público;500;mais de 36 minutos;Para Lazer;;Sim;;Nada, considero que não é o modo de transporte adequado ao meu estatuto;0;Bicicleta de Estrada;2;100;100
45-49 anos;Masculino;Unido de Facto;Ensino Secundário;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;A pé, De Carro (Condutor);4,250;21 a 35 minutos;Como Modo de Transporte;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;55;Bicicleta de Estrada, Bicicleta de Montanha;6;;
40-44 anos;Feminino;Solteiro/a;Mestrado;Olhão;Faro;Algarve;Olhão;A pé;De Carro (Condutor), De Carro (Passageiro);0,400;Menos de 5 minutos;Não uso;;;Não tenho bicicleta, Moro perto;Ter uma bicicleta;;;;;
50-54 anos;Masculino;Solteiro/a;Licenciatura;Aveiro;Aveiro;Centro;Braga;De Carro (Condutor);A pé;350;mais de 36 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;30;
45-49 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Transporte Público;A pé;3,0;Menos de 5 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;2;;25
50-54 anos;Masculino;Solteiro/a;Ensino Secundário;Grândola;Setúbal;Alentejo;Grândola;De Transporte Público;A pé;3,0;Menos de 5 minutos;Para Desporto;;Não;;Só se passasse a morar mais longe do destino, Ter estacionamento seguro para bicicletas no destino, Ter uma bicicleta mais difícil de roubar que a de estrada (Que tenho). Se a paragem de autocarro para o trabalho fosse mais longe.;0;Bicicleta de Estrada;1;;20
