Data3;Ultimo3;Abertura3;Alta3;Baixa3;Nome3;Ano3
03/10/22;680,75;680;687,5;672,5;Milho;2022
04/10/22;683;680,75;691,5;676,5;Milho;2022
05/10/22;684;683;687,5;675,75;Milho;2022
06/10/22;675,5;683,75;685,75;672;Milho;2022
07/10/22;683,25;675,5;684,5;671,5;Milho;2022
10/10/22;698,25;683,75;706,5;683,5;Milho;2022
11/10/22;703;697;702;690,75;Milho;2022
12/10/22;693;693,25;700;680;Milho;2022
13/10/22;697,75;692,25;699,5;684;Milho;2022
14/10/22;689,75;697;699,5;688,5;Milho;2022
17/10/22;683,5;689;692,25;681,25;Milho;2022
18/10/22;681;683;683,75;674,5;Milho;2022
19/10/22;678,25;681;684,5;674;Milho;2022
20/10/22;684;678;687;676,75;Milho;2022
21/10/22;684,25;683,5;688;677,75;Milho;2022
24/10/22;681,5;682,25;686,5;677,25;Milho;2022
25/10/22;686,25;681,5;687,5;677,75;Milho;2022
26/10/22;685;684,25;689,75;683,25;Milho;2022
27/10/22;682,25;685;689,25;679,25;Milho;2022
28/10/22;680,75;681,25;683,75;676,25;Milho;2022
17/10/23;489;490;492,75;487,75;Milho;2023
18/10/23;492;488,5;494;488,5;Milho;2023
19/10/23;505;492;505,5;490,25;Milho;2023
20/10/23;495,5;504;509,5;495;Milho;2023
23/10/23;490,25;494,25;497;490,25;Milho;2023
24/10/23;484;490,75;491,5;482,75;Milho;2023
25/10/23;480;483,5;486;476,75;Milho;2023
26/10/23;479,25;480;484,25;477,5;Milho;2023
27/10/23;480,75;479,25;484;478,25;Milho;2023
30/10/23;478,25;480;484,25;477,5;Milho;2023
