"Id","Existencia_de_irmãos","Experiência_conjugal","Sexo","IdadeIndiv","Horas_Trabalho_Semana","Tamanho_do_Agregado","Nivel_de_Escolaridade","resp"
3,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",54,NA,1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
10,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",54,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
37,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",54,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
55,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",54,"<16",1,"Superior","Não tem filhos e não pensa vir a ter"
62,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",54,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
63,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",54,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
67,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",54,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
69,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",54,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
72,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",54,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
81,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",53,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
94,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
107,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",53,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
109,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
112,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",53,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
117,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
120,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
121,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
132,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",53,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
133,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
139,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
140,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",52,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
143,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",53,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
177,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",52,">=36",1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
183,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",52,NA,1,"Superior","Não tem filhos e não pensa vir a ter"
189,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",52,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
194,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",52,"16-35",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
199,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",52,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
213,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",52,">=36",1,"Superior","Não tem filhos mas pensa vir a ter"
219,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",52,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
232,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",51,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
234,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",51,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
236,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",51,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
237,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",51,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
241,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",51,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
244,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",51,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
245,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",51,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
257,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",51,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
