id;sexo;idade;instrucao;modalidade
1;Masculino;56;1.º ciclo ou inferior;BTT/Ciclismo
2;Feminino;49;1.º ciclo ou inferior;Caminhada
3;Feminino;65;1.º ciclo ou inferior;Caminhada
4;Feminino;57;2.º ciclo;Caminhada
5;Feminino;30;2.º ciclo;Outra
6;Masculino;23;2.º ciclo;BTT/Ciclismo
7;Feminino;51;3.º ciclo;BTT/Ciclismo
8;Feminino;35;Secundário;Outra
9;Masculino;21;Secundário;Outra
10;Feminino;34;Secundário;BTT/Ciclismo
11;Feminino;24;Secundário;Caminhada
12;Feminino;29;Secundário;Caminhada
13;Feminino;25;Secundário;Caminhada
14;Feminino;50;Secundário;Fitness
15;Masculino;19;Secundário;BTT/Ciclismo
16;Feminino;55;Secundário;Caminhada
17;Feminino;56;Secundário;Caminhada
18;Feminino;28;Superior;Caminhada
19;Feminino;36;Superior;Fitness
20;Masculino;37;Superior;Fitness
21;Feminino;51;Superior;Caminhada
22;Feminino;42;Superior;Outra
23;Feminino;28;Superior;BTT/Ciclismo
24;Masculino;15;2.º ciclo;Outra
25;Feminino;15;3.º ciclo;Outra
26;Masculino;16;3.º ciclo;Outra
27;Feminino;16;3.º ciclo;Outra
28;Feminino;16;3.º ciclo;Outra
29;Feminino;15;3.º ciclo;Outra
30;Masculino;15;3.º ciclo;Outra
31;Feminino;19;3.º ciclo;Outra
32;Feminino;17;3.º ciclo;Fitness
33;Masculino;15;3.º ciclo;Outra
34;Masculino;15;3.º ciclo;Outra
35;Feminino;15;3.º ciclo;Outra
36;Masculino;29;3.º ciclo;Outra
37;Masculino;17;3.º ciclo;Outra
38;Feminino;15;3.º ciclo;Outra
39;Feminino;17;Secundário;Outra
40;Feminino;17;Secundário;Outra
41;Masculino;18;Secundário;Fitness
42;Masculino;17;Secundário;Outra
43;Masculino;23;Secundário;Fitness
44;Feminino;17;Secundário;Outra
45;Masculino;20;Secundário;Fitness
46;Masculino;15;Secundário;Outra
47;Masculino;19;Secundário;Outra
48;Masculino;16;Secundário;Outra
49;Feminino;17;Secundário;Caminhada
50;Feminino;16;Secundário;Outra
51;Masculino;17;Secundário;Outra
52;Masculino;18;Secundário;Fitness
53;Feminino;17;Secundário;Outra
54;Masculino;18;Secundário;Outra
55;Feminino;15;Secundário;Outra
56;Feminino;19;Secundário;Outra
57;Masculino;15;Secundário;Outra
58;Masculino;18;Secundário;BTT/Ciclismo
59;Masculino;19;Secundário;Fitness
60;Feminino;17;Secundário;Outra
61;Feminino;17;Secundário;Outra
62;Masculino;18;Secundário;Outra
63;Feminino;20;Secundário;Outra
64;Masculino;17;Secundário;Outra
65;Masculino;20;Secundário;Outra
66;Masculino;23;Secundário;Outra
67;Feminino;16;Secundário;Outra
68;Masculino;17;Secundário;Outra
69;Masculino;23;Secundário;Outra
70;Masculino;15;Secundário;BTT/Ciclismo
71;Masculino;23;Secundário;BTT/Ciclismo
72;Masculino;28;Secundário;Outra
73;Masculino;20;Secundário;BTT/Ciclismo
74;Masculino;22;Secundário;Outra
75;Masculino;18;Secundário;Outra
76;Feminino;16;Secundário;Outra
77;Feminino;21;Superior;Fitness
78;Masculino;19;Superior;Outra
79;Feminino;19;Superior;Outra
80;Feminino;21;Superior;Fitness
81;Feminino;23;Superior;Outra
82;Feminino;19;Superior;Outra
83;Masculino;29;Superior;Outra
84;Feminino;22;Superior;Fitness
85;Feminino;23;Superior;Outra
86;Feminino;23;Superior;BTT/Ciclismo
87;Feminino;21;Superior;Fitness
88;Masculino;23;Superior;Fitness
89;Masculino;25;Superior;Fitness
90;Feminino;20;Superior;Outra
91;Feminino;23;Superior;Fitness
92;Feminino;19;Superior;Caminhada
93;Feminino;68;1.º ciclo ou inferior;Fitness
94;Feminino;79;1.º ciclo ou inferior;Outra
95;Feminino;62;1.º ciclo ou inferior;Caminhada
96;Feminino;42;3.º ciclo;Outra
97;Feminino;70;1.º ciclo ou inferior;Outra
98;Feminino;73;1.º ciclo ou inferior;Outra
99;Masculino;57;1.º ciclo ou inferior;BTT/Ciclismo
100;Masculino;75;1.º ciclo ou inferior;Outra
101;Feminino;81;1.º ciclo ou inferior;Outra
102;Masculino;75;1.º ciclo ou inferior;Outra
103;Masculino;53;1.º ciclo ou inferior;BTT/Ciclismo
104;Feminino;73;1.º ciclo ou inferior;Fitness
105;Masculino;86;1.º ciclo ou inferior;Fitness
106;Masculino;54;1.º ciclo ou inferior;BTT/Ciclismo
107;Masculino;64;1.º ciclo ou inferior;Fitness
108;Masculino;69;1.º ciclo ou inferior;Caminhada
109;Feminino;79;1.º ciclo ou inferior;Caminhada
110;Masculino;79;1.º ciclo ou inferior;Caminhada
111;Masculino;80;1.º ciclo ou inferior;Caminhada
112;Feminino;77;1.º ciclo ou inferior;Caminhada
113;Masculino;60;1.º ciclo ou inferior;Caminhada
114;Feminino;67;1.º ciclo ou inferior;Caminhada
115;Feminino;73;1.º ciclo ou inferior;Caminhada
116;Masculino;57;1.º ciclo ou inferior;Caminhada
117;Feminino;72;1.º ciclo ou inferior;Fitness
118;Masculino;77;1.º ciclo ou inferior;Fitness
119;Feminino;75;1.º ciclo ou inferior;Caminhada
120;Feminino;65;1.º ciclo ou inferior;Caminhada
121;Feminino;83;1.º ciclo ou inferior;Fitness
122;Masculino;57;1.º ciclo ou inferior;BTT/Ciclismo
123;Masculino;57;1.º ciclo ou inferior;BTT/Ciclismo
124;Masculino;63;1.º ciclo ou inferior;Outra
125;Feminino;59;1.º ciclo ou inferior;Fitness
126;Masculino;79;1.º ciclo ou inferior;BTT/Ciclismo
127;Feminino;71;1.º ciclo ou inferior;Caminhada
128;Feminino;66;1.º ciclo ou inferior;Caminhada
129;Feminino;66;1.º ciclo ou inferior;Caminhada
130;Masculino;78;1.º ciclo ou inferior;Caminhada
131;Feminino;66;1.º ciclo ou inferior;Caminhada
132;Masculino;52;1.º ciclo ou inferior;Caminhada
133;Feminino;65;1.º ciclo ou inferior;Caminhada
134;Feminino;78;1.º ciclo ou inferior;Caminhada
