month;yrmon;cvd
   1.000;1987.000;1831.000
   2.000;1987.083;1361.000
   3.000;1987.167;1569.000
   4.000;1987.250;1454.000
   5.000;1987.333;1447.000
   6.000;1987.417;1316.000
   7.000;1987.500;1345.000
   8.000;1987.583;1325.000
   9.000;1987.667;NA
  10.000;1987.750;1433.000
  11.000;1987.833;1455.000
  12.000;1987.917;1751.000
   1.000;1988.000;1923.000
   2.000;1988.083;1839.000
   3.000;1988.167;1592.000
   4.000;1988.250;1369.000
   5.000;1988.333;1351.000
   6.000;1988.417;1308.000
   7.000;1988.500;1335.000
   8.000;1988.583;1290.000
   9.000;1988.667;1346.000
  10.000;1988.750;1338.000
  11.000;1988.833;1307.000
  12.000;1988.917;1620.000
   1.000;1989.000;2094.000
   2.000;1989.083;1800.000
   3.000;1989.167;1479.000
   4.000;1989.250;1388.000
   5.000;1989.333;1246.000
   6.000;1989.417;1276.000
   7.000;1989.500;1216.000
   8.000;1989.583;1224.000
   9.000;1989.667;1254.000
  10.000;1989.750;1302.000
  11.000;1989.833;1393.000
  12.000;1989.917;1691.000
   1.000;1990.000;1753.000
   2.000;1990.083;1480.000
   3.000;1990.167;1355.000
   4.000;1990.250;1226.000
   5.000;1990.333;1267.000
   6.000;1990.417;1318.000
   7.000;1990.500;1270.000
   8.000;1990.583;1199.000
   9.000;1990.667;1232.000
  10.000;1990.750;1272.000
  11.000;1990.833;1287.000
  12.000;1990.917;1564.000
   1.000;1991.000;1502.000
   2.000;1991.083;1327.000
   3.000;1991.167;1418.000
   4.000;1991.250;1362.000
   5.000;1991.333;1335.000
   6.000;1991.417;1257.000
   7.000;1991.500;1155.000
   8.000;1991.583;1183.000
   9.000;1991.667;1170.000
  10.000;1991.750;1292.000
  11.000;1991.833;1349.000
  12.000;1991.917;1666.000
   1.000;1992.000;1782.000
   2.000;1992.083;1370.000
   3.000;1992.167;1409.000
   4.000;1992.250;1380.000
   5.000;1992.333;1160.000
   6.000;1992.417;1172.000
   7.000;1992.500;1227.000
   8.000;1992.583;1264.000
   9.000;1992.667;1144.000
  10.000;1992.750;1229.000
  11.000;1992.833;1319.000
  12.000;1992.917;1522.000
   1.000;1993.000;1558.000
   2.000;1993.083;1378.000
   3.000;1993.167;1491.000
   4.000;1993.250;1334.000
   5.000;1993.333;1298.000
   6.000;1993.417;1117.000
   7.000;1993.500;1180.000
   8.000;1993.583;1166.000
   9.000;1993.667;1199.000
  10.000;1993.750;1249.000
  11.000;1993.833;1375.000
  12.000;1993.917;1868.000
   1.000;1994.000;1878.000
   2.000;1994.083;1456.000
   3.000;1994.167;1358.000
   4.000;1994.250;1293.000
   5.000;1994.333;1361.000
   6.000;1994.417;1178.000
   7.000;1994.500;1217.000
   8.000;1994.583;1265.000
   9.000;1994.667;1120.000
  10.000;1994.750;1330.000
  11.000;1994.833;1362.000
  12.000;1994.917;1451.000
   1.000;1995.000;1402.000
   2.000;1995.083;1266.000
   3.000;1995.167;1398.000
   4.000;1995.250;1313.000
   5.000;1995.333;1298.000
   6.000;1995.417;1187.000
   7.000;1995.500;1232.000
   8.000;1995.583;1275.000
   9.000;1995.667;1200.000
  10.000;1995.750;1275.000
  11.000;1995.833;1345.000
  12.000;1995.917;1602.000
   1.000;1996.000;1680.000
   2.000;1996.083;1387.000
   3.000;1996.167;1393.000
   4.000;1996.250;1293.000
   5.000;1996.333;1263.000
   6.000;1996.417;1174.000
   7.000;1996.500;1216.000
   8.000;1996.583;1200.000
   9.000;1996.667;1131.000
  10.000;1996.750;1231.000
  11.000;1996.833;1304.000
  12.000;1996.917;1515.000
   1.000;1997.000;1752.000
   2.000;1997.083;1445.000
   3.000;1997.167;1409.000
   4.000;1997.250;1273.000
   5.000;1997.333;1237.000
   6.000;1997.417;1166.000
   7.000;1997.500;1186.000
   8.000;1997.583;1264.000
   9.000;1997.667;1163.000
  10.000;1997.750;1234.000
  11.000;1997.833;1261.000
  12.000;1997.917;1775.000
   1.000;1998.000;1920.000
   2.000;1998.083;1297.000
   3.000;1998.167;1379.000
   4.000;1998.250;1296.000
   5.000;1998.333;1312.000
   6.000;1998.417;1176.000
   7.000;1998.500;1201.000
   8.000;1998.583;1159.000
   9.000;1998.667;1174.000
  10.000;1998.750;1336.000
  11.000;1998.833;1278.000
  12.000;1998.917;1453.000
   1.000;1999.000;1651.000
   2.000;1999.083;1412.000
   3.000;1999.167;1559.000
   4.000;1999.250;1441.000
   5.000;1999.333;1403.000
   6.000;1999.417;1289.000
   7.000;1999.500;1281.000
   8.000;1999.583;1250.000
   9.000;1999.667;1138.000
  10.000;1999.750;NA
  11.000;1999.833;1391.000
  12.000;1999.917;1960.000
   1.000;2000.000;1927.000
   2.000;2000.083;1430.000
   3.000;2000.167;1527.000
   4.000;2000.250;1333.000
   5.000;2000.333;1343.000
   6.000;2000.417;1171.000
   7.000;2000.500;1200.000
   8.000;2000.583;1285.000
   9.000;2000.667;1229.000
  10.000;2000.750;1325.000
  11.000;2000.833;1409.000
  12.000;2000.917;1455.000
