"month";"yrmon";"cvd";"temp"
"1";1;1987;1831;54.75
"2";2;1987.083;1361;57.982
"3";3;1987.167;1569;58.968
"4";4;1987.25;3454;64.033
"5";5;1987.333;1447;65.121
"6";6;1987.417;1316;66.217
"7";7;1987.5;1345;54.75
"8";8;1987.583;1325;57.982
"9";9;1987.667;1280;58.968
"10";10;1987.75;1433;64.033
"11";11;1987.833;1455;65.121
"12";12;1987.917;1751;66.217
"13";1;1988;1923;54.75
"14";2;1988.083;1839;57.982
"15";3;1988.167;1592;58.968
"16";4;1988.25;1369;64.033
"17";5;1988.333;1351;65.121
"18";6;1988.417;NA;66.217
"19";7;1988.5;1335;54.75
"20";8;1988.583;1290;57.982
"21";9;1988.667;1346;58.968
"22";10;1988.75;1338;64.033
"23";11;1988.833;1307;65.121
"24";12;1988.917;1620;66.217
"25";1;1989;2094;54.75
"26";2;1989.083;1800;57.982
"27";3;1989.167;1479;58.968
"28";4;1989.25;1388;64.033
"29";5;1989.333;1246;65.121
"30";6;1989.417;1276;66.217
"31";7;1989.5;1216;54.75
"32";8;1989.583;1224;57.982
"33";9;1989.667;1254;58.968
"34";10;1989.75;1302;64.033
"35";11;1989.833;1393;65.121
"36";12;1989.917;1691;66.217
"37";1;1990;1753;54.75
"38";2;1990.083;1480;57.982
"39";3;1990.167;1355;58.968
"40";4;1990.25;1226;64.033
"41";5;1990.333;1267;65.121
"42";6;1990.417;1318;66.217
"43";7;1990.5;1270;54.75
"44";8;1990.583;1199;57.982
"45";9;1990.667;1232;58.968
"46";10;1990.75;1272;64.033
"47";11;1990.833;1287;65.121
"48";12;1990.917;1564;66.217
"49";1;1991;1502;54.75
"50";2;1991.083;1327;57.982
"51";3;1991.167;1418;58.968
"52";4;1991.25;1362;64.033
"53";5;1991.333;1335;65.121
"54";6;1991.417;1257;66.217
"55";7;1991.5;1155;54.75
"56";8;1991.583;1183;57.982
"57";9;1991.667;1170;58.968
"58";10;1991.75;1292;64.033
"59";11;1991.833;1349;65.121
"60";12;1991.917;1666;66.217
"61";1;1992;1782;54.75
"62";2;1992.083;1370;57.982
"63";3;1992.167;1409;58.968
"64";4;1992.25;1380;64.033
"65";5;1992.333;1160;65.121
"66";6;1992.417;1172;66.217
"67";7;1992.5;1227;54.75
"68";8;1992.583;1264;57.982
"69";9;1992.667;1144;58.968
"70";10;1992.75;1229;64.033
"71";11;1992.833;1319;65.121
"72";12;1992.917;1522;66.217
"73";1;1993;1558;54.75
"74";2;1993.083;1378;57.982
"75";3;1993.167;1491;58.968
"76";4;1993.25;1334;64.033
"77";5;1993.333;1298;65.121
"78";6;1993.417;1117;66.217
"79";7;1993.5;1180;54.75
"80";8;1993.583;1166;57.982
"81";9;1993.667;1199;58.968
"82";10;1993.75;1249;64.033
"83";11;1993.833;1375;65.121
"84";12;1993.917;1868;66.217
"85";1;1994;1878;54.75
"86";2;1994.083;1456;57.982
