Data;Hmed;Nobs
Nov-84;3,43;211
Dez-84;2,979;206
Jan-85;1,362;20
Fev-85;2,383;198
Mar-85;;
Abr-85;2,92;226
Mai-85;1,481;241
Jun-85;1,25;232
Jul-85;1,303;164
Ago-85;1,715;220
Set-85;;
Out-85;1,981;238
Nov-85;3,67;235
Dez-85;2,94;248
Jan-86;3,19;216
Fev-86;1,635;166
Mar-86;3,036;229
Abr-86;1,833;240
Mai-86;1,902;247
Jun-86;1,42;203
Jul-86;1,328;246
Ago-86;1,57;204
Set-86;2,266;224
Out-86;2,738;218
Nov-86;3,276;217
Dez-86;3,378;245
Jan-87;2,626;242
Fev-87;2,564;223
Mar-87;3,22;245
Abr-87;1,755;238
Mai-87;1,927;210
Jun-87;1,483;234
Jul-87;1,502;246
Ago-87;1,94;155
Set-87;2,107;174
Out-87;3,144;221
Nov-87;1,911;147
Dez-87;2,682;177
Jan-88;3,345;184
Fev-88;3,39;156
Mar-88;2,836;162
Abr-88;2,33;135
Mai-88;1,463;228
Jun-88;1,274;228
Jul-88;1,689;239
Ago-88;1,492;245
Set-88;2,234;237
Out-88;2,449;182
Nov-88;3,082;239
